シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2021,Ｊ１,第３８節第１日,21/12/04(土),14:03,FC東京,0-0,福岡,味スタ,14364,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2022,Ｊ１,第４節第２日,22/03/12(土),15:03,FC東京,2-1,広島,味スタ,14415,ＤＡＺＮ
2022,Ｊ１,第７節第２日,22/04/06(水),19:03,FC東京,3-1,神戸,味スタ,13814,ＤＡＺＮ
2022,Ｊ１,第８節第２日,22/04/10(日),14:02,FC東京,0-0,浦和,味スタ,22429,ＤＡＺＮ／ＮＨＫ総合
2022,Ｊ１,第２節第３日,22/04/20(水),19:03,FC東京,0-0,名古屋,味スタ,11214,ＤＡＺＮ
2022,Ｊ１,第１０節第３日,22/04/29(金・祝),19:03,FC東京,2-0,Ｇ大阪,国立,43125,ＤＡＺＮ
2022,Ｊ１,第１２節第３日,22/05/08(日),15:05,FC東京,0-1,鳥栖,味スタ,15822,ＤＡＺＮ
2022,Ｊ１,第１４節第１日,22/05/21(土),15:03,FC東京,0-0,柏,味スタ,13603,ＤＡＺＮ
2022,Ｊ１,第１６節第２日,22/05/29(日),15:03,FC東京,3-1,鹿島,味スタ,28436,ＤＡＺＮ
2022,Ｊ１,第１９節第１日,22/07/02(土),18:03,FC東京,2-2,福岡,味スタ,14613,ＤＡＺＮ
2022,Ｊ１,第２０節第１日,22/07/06(水),19:03,FC東京,3-0,札幌,味スタ,11516,ＤＡＺＮ
2022,Ｊ１,第２２節第２日,22/07/17(日),18:03,FC東京,2-0,磐田,味スタ,18212,ＤＡＺＮ
2022,Ｊ１,第２４節第２日,22/08/07(日),18:04,FC東京,0-2,清水,味スタ,20577,ＤＡＺＮ
2022,Ｊ１,第２８節第２日,22/09/03(土),19:08,FC東京,2-2,横浜FM,味スタ,29034,ＤＡＺＮ
2022,Ｊ１,第３０節第３日,22/09/18(日),19:03,FC東京,2-0,京都,国立,50994,ＤＡＺＮ
2022,Ｊ１,第３２節第１日,22/10/08(土),15:04,FC東京,0-2,湘南,味スタ,24183,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2022,Ｊ１,第２５節第４日,22/10/12(水),19:03,FC東京,4-0,Ｃ大阪,味スタ,12449,ＤＡＺＮ
2022,Ｊ１,第３４節第１日,22/11/05(土),14:03,FC東京,2-3,川崎Ｆ,味スタ,34820,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ／ＮＨＫ　ＢＳ１
2023,Ｊ１,第１節第２日,23/02/18(土),14:03,FC東京,2-0,浦和,味スタ,38051,ＤＡＺＮ／ＮＨＫ総合
2023,Ｊ１,第４節第２日,23/03/12(日),15:03,FC東京,3-1,横浜FC,味スタ,23752,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2023,Ｊ１,第７節第２日,23/04/09(日),15:04,FC東京,2-2,湘南,味スタ,20949,ＤＡＺＮ
2023,Ｊ１,第８節第１日,23/04/15(土),16:03,FC東京,1-2,Ｃ大阪,味スタ,16939,ＤＡＺＮ
2023,Ｊ１,第１０節第１日,23/04/29(土・祝),15:03,FC東京,2-1,新潟,味スタ,32181,ＤＡＺＮ
